Agaricus Subrufescens
Auricularia Auricula-Judae
Calvatia Cyathiformis
Calvatia Gigantea
Chlorophyllum Molybdites
Coprinellus Micaceus
Coprinopsis Atramentaria
Ganoderma Applanatum
Ganoderma Lucidum
Lentinus Sajor Caju
Lentinus Tigrinus
Lepiota Cristata
Macrolepiota Procera
Microporus Xanthopus
Mycena Galericulata
Mycena Pura
Pleurotus Cystidiosus
Pleurotus Djamor
Pleurotus Ostreatus
Pleurotus citrinopileatus
Pleurotus pulmonarius
Psathyrella Candolleana
Schizophyllum Commune
Termitomyces Clypeatus
Unknown
Volvariella Volvacea
